who,lang,text
person.BJØB_29481265,nob,1
person.BJØB_91349065,nob,1
person.BJØB_996487107,nob,1
person.BLH,nob,1
person.BLO,nno,19
person.BMW,nob,9
person.BMW_26522585,nob,1
person.BMW_276227101,nob,1
person.BRA,nno,2
person.BRA,nob,149
person.BRDTHO,nob,38
person.BSAL,nob,5
person.BTH,nob,25
person.BVS,nno,87
person.BÅH,nno,2
person.BÅH,nob,526
person.BÅH_112515108,nob,1
person.BÅH_384228110,nob,1
person.BÅH_470619110,nob,1
person.CAM,nob,1
person.CAMBRE,nob,1
person.CAS,nob,38
person.CAW,nob,1
person.CES,nob,225
person.CHRTOR,nob,5
person.CHS,nob,9
person.CIH,nno,1
person.CIH,nob,104
person.CN,nob,1
person.CSE,nob,8
person.CT,eng,1
person.CT,nob,309
person.CTB,nno,1
person.CTB,nob,40
person.CTM,nno,1
person.CTM,nob,330
person.CT_37736297,nob,1
person.DHF,nob,6
person.DHO,nob,88
person.DOH,nob,1
person.DORTEL,nob,2
person.DTA,nno,2
person.DTA,nob,347
person.DU,nob,100
person.EAG,nob,112
person.EAS,nno,1
person.EAS,nob,36
person.EASI,nob,6
person.EBE,nno,2
person.EBE,nob,446
person.EBO,nno,4
person.EBO,nob,191
person.EEM,nno,1
person.EEM,nob,647
person.EFA,nob,2
person.EFS,nno,30
person.EFS,nob,58
person.EIK,nno,1
person.EIK,nob,173
person.EILB,nob,1
person.EIRS,nno,2
person.EIRS,nob,340
person.EIVDRI,nob,10
person.EKS,nob,34
person.ELIW,nob,3
person.ELLE,nob,1
person.ELN,nob,12
person.ELN_57414899,nob,1
person.ELR,nob,18
person.ELT,nno,1
person.ELT,nob,4
person.ELV,nno,2
person.ELV,nob,246
person.ELW,nob,212
person.EMI,nob,13
person.EMMLIN,nob,7
person.EMMWAT,nob,18
person.ENI,nob,1
person.ERIS,nob,12
person.ERLBE1,nob,97
person.ERLL,nno,1
person.ERLL,nob,132
person.ES,nno,1
person.ES,nob,1350
person.ESAN,nno,36
person.EVEERI,nob,16
person.EVH,nob,43
person.EVR,nob,14
person.EW,nno,1
person.EW,nob,318
person.FAØ,nno,2
person.FAØ,nob,671
person.FBJ,nno,4
person.FBJ,nob,578
person.FEG,nob,6
person.FES,nno,201
person.FES,nob,1
person.FHB,nno,75
person.FHB_34887111,nno,1
person.FHB_470502107,nno,1
person.FHB_746514109,nno,1
person.FHB_802472111,nno,1
person.FHB_81353974,nno,1
person.FJJ,nob,43
person.FMS,nno,1
person.FMS,nob,202
person.FR,nob,58
person.FREHOL,nob,4
person.FRH,nob,9
person.FRME,nno,81
person.FROJAC,nob,23
person.GAE,nob,5
person.GAG,nob,44
person.GAI,nno,4
person.GAI,nob,144
person.GAN,nob,1
person.GB,nob,1
person.GBS,nob,2
person.GEIRAJ,nob,54
person.GEL,nno,102
person.GEL,nob,3
person.GEST,nob,162
person.GFL,nob,2
person.GHK,nob,4
person.GIS,nob,7
person.GJB,nno,1
person.GJB,nob,288
person.GJH,nno,5
person.GJH_865872118,nno,1
person.GKAL,nob,179
person.GKB,nob,15
person.GME,nno,1
person.GME,nob,521
person.GMS,nno,1
person.GMS,nob,146
person.GP,nno,799
person.GP,nob,7
person.GREWOL,nob,108
person.GROMYK,nob,23
person.GRRA,nob,3
person.GUAS,nno,5
person.GUE,nno,35
person.GUE,nob,4
person.GUG,nob,113
person.GUMH,nob,1
person.HADBJU,nob,5
person.HANHOL,nob,5
person.HDH,nob,49
person.HEA,nno,2
person.HEA,nob,405
person.HEGNYH,nno,2
person.HEGNYH,nob,77
person.HEH,nno,2
person.HEH,nob,216
person.HEIG,nno,4
person.HEIG,nob,561
person.HEJ,nob,2
person.HELO,nno,2
person.HELO,nob,254
person.HENL,nob,266
person.HFG,nno,1
person.HFG,nob,414
person.HGU,nno,1
person.HGU,nob,211
person.HHAM,nob,3
person.HHLI,nno,1
person.HHLI,nob,141
person.HIHH,nob,1
person.HIKH,nob,2
person.HILDAN,nob,3
person.HILH,nno,1
person.HKOOHR,nob,1
person.HLI,nno,1
person.HLI,nob,260
person.HLT,nob,5
person.HMV,nno,1
person.HMY,nno,61
person.HNJ,nno,308
person.HNJ,nob,5
person.HOSY,nob,80
person.HPED,nob,83
person.HRM,nno,2
person.HTA,nno,392
person.HTA,nob,2
person.HTHO,nob,21
person.HTN,nob,157
person.HUH,nob,10
person.HVASAA,nob,1
person.HWO,nob,2
person.IAF,nno,2
person.IAF,nob,143
person.IAG,nob,14
person.IBTH,nob,13
person.IDARSE,nob,10
person.IGJ,nno,13
person.IHE,nno,207
person.IHE,nob,3
person.IJ,nob,27
person.ILO,nob,7
person.IME,nno,4
person.IME,nob,694
person.IN,nob,695
person.INF,nno,54
person.INF,nob,2
person.INGMYH,nob,2
person.INGTHO,nob,76
person.INK,nob,866
person.INTY,nob,58
person.IOD,nno,130
person.IOD,nob,3
person.IOL,nob,131
person.IREOJA,nob,33
person.IRO,nob,1
person.ISC,nob,183
person.ISH,nob,1
person.ITH,nob,1
person.IVBP,nob,25
person.JAE,nob,17
person.JANVES,nob,162
person.JASP,nob,163
person.JBBB,nob,4
person.JBO,nno,3
person.JBO,nob,343
person.JF,nob,21
person.JFC,nno,1
person.JFC,nob,98
person.JFI,nob,47
person.JG,nob,246
person.JGD,nno,747
person.JGS,nno,1
person.JGS,nob,669
person.JGS_160001110,nob,1
person.JHI,nob,19
person.JHN,nob,16
person.JHR,nob,5
person.JKAL,nob,204
person.JKL,nno,202
person.JLO,nob,102
person.JOEH,nob,222
person.JONBLI,nob,5
person.JONN,nno,5
person.JONN,nob,283
person.JSEJ,nob,52
person.JSN,nob,71
person.JTS,nob,1148
person.JUW,nob,8
person.KAAN,nno,4
person.KAAN,nob,1270
person.KABG,nob,26
person.KAEL,nob,109
person.KAMGUN,nob,12
person.KAND,nob,65
person.KARBRT,nob,20
person.KARH,nno,3
person.KARH,nob,407
person.KARJ,nob,73
person.KARO,nob,3
person.KAT,nob,62
person.KATKLE,nob,19
person.KATLIE,nob,58
person.KBER,nno,1
person.KBF,nob,213
person.KEG,nob,157
person.KEKA,nno,1
person.KEKA,nob,527
person.KES,nob,9
person.KETK,nno,2
person.KETK,nob,463
person.KETK_10565110,nob,1
person.KETK_395117108,nob,1
person.KETK_539990101,nob,1
person.KETK_65603118,nob,1
person.KETK_664654110,nob,1
