id,source
ParlaMint-NO_2006-12-05-lower,o061205
ParlaMint-NO_2007-03-06,s070306
ParlaMint-NO_2006-11-23-upper,l061123
ParlaMint-NO_2006-11-22,s061122
ParlaMint-NO_2007-02-08,s070208
ParlaMint-NO_2006-12-08,s061208
ParlaMint-NO_2006-12-05,s061205
ParlaMint-NO_2007-06-12,s070612
ParlaMint-NO_2006-11-29,s061129
ParlaMint-NO_2006-10-20,s061020
ParlaMint-NO_2006-10-18,s061018
ParlaMint-NO_2006-12-11,s061211
ParlaMint-NO_2007-06-06-lower,o070606
ParlaMint-NO_2007-03-05,s070305
ParlaMint-NO_2007-04-24,s070424
ParlaMint-NO_2006-10-10-lower,o061010
ParlaMint-NO_2007-06-15,s070615
ParlaMint-NO_2007-02-20,s070220
ParlaMint-NO_2006-12-05-2,s061205k
ParlaMint-NO_2006-11-16-lower,o061116
ParlaMint-NO_2007-04-18,s070418
ParlaMint-NO_2006-10-11,s061011
ParlaMint-NO_2007-03-07,s070307
ParlaMint-NO_2007-06-14,s070614
ParlaMint-NO_2006-12-14-lower,o061214
ParlaMint-NO_2006-12-13,s061213
ParlaMint-NO_2006-11-09-lower,o061109
ParlaMint-NO_2007-01-11,s070111
ParlaMint-NO_2007-02-20-lower,o070220
ParlaMint-NO_2006-10-25,s061025
ParlaMint-NO_2007-04-16,s070416
ParlaMint-NO_2007-02-06,s070206
ParlaMint-NO_2006-11-16,s061116
ParlaMint-NO_2006-10-05-2,s061005k
ParlaMint-NO_2007-02-08-upper,l070208
ParlaMint-NO_2007-04-17-2,s070417k
ParlaMint-NO_2007-04-25,s070425
ParlaMint-NO_2006-11-24,s061124
ParlaMint-NO_2006-11-09,s061109
ParlaMint-NO_2007-06-07,s070607
ParlaMint-NO_2007-03-29,s070329
ParlaMint-NO_2009-03-31,s090331
ParlaMint-NO_2008-10-09-upper,l081009
ParlaMint-NO_2009-01-08,s090108
ParlaMint-NO_2008-11-25-lower,o081125
ParlaMint-NO_2009-05-28-upper,l090528
ParlaMint-NO_2009-01-13-upper,l090113
ParlaMint-NO_2009-03-13-lower,o090313
ParlaMint-NO_2008-11-05,s081105
ParlaMint-NO_2008-12-03,s081203
ParlaMint-NO_2009-01-09,s090109
ParlaMint-NO_2009-03-16,s090316
ParlaMint-NO_2009-06-09-lower,o090609
ParlaMint-NO_2008-10-06,s081006
ParlaMint-NO_2009-01-14,s090114
ParlaMint-NO_2009-02-18,s090218
ParlaMint-NO_2008-12-16,s081216
ParlaMint-NO_2009-02-13-lower,o090213
ParlaMint-NO_2008-11-20-lower,o081120
ParlaMint-NO_2009-04-27,s090427
