,fornavn,etternavn,periode_liste
159,Even,Eriksen,{2021-2025}
163,Farukh,Qureshi,{2021-2025}
165,Ferhat,Güven,"{2021-2025,2017-2021,2013-2017}"
168,Fredrik,Holm,{2021-2025}
169,Fredrik Tiochta,Sørlie,{2021-2025}
170,Frode,Jacobsen,{2021-2025}
171,Geir Arild,Espnes,"{2021-2025,2017-2021}"
173,Gunn Åmdal,Mongstad,"{2021-2025,2017-2021,2005-2009}"
174,Gaute Klogh,Henriksen,{2021-2025}
175,Geir Roger,Borgedal,"{2021-2025,2017-2021}"
176,Gaute Børstad,Skjervø,"{2021-2025,2017-2021}"
177,Geir,Angeltveit,{2021-2025}
178,Geir,Kvarme,{2021-2025}
181,Georg,Sørmo,{2021-2025}
182,Gjermund,Ingolfsland,{2021-2025}
189,Gunhild Berge,Stang,"{2021-2025,2013-2017}"
190,Guro Angell,Gimse,"{2021-2025,2017-2021}"
191,Gunnhild,Meringdal,"{2021-2025,2013-2017}"
192,Gunnar,Heiene,{2021-2025}
193,Gunnell  Erika,Sandanger,{2021-2025}
194,Guro Holm,Skillingstad,{2021-2025}
195,Haakon,Riekeles,{2021-2025}
196,Haakon,Skramstad,{2021-2025}
197,Hadle Rasmus,Bjuland,{2021-2025}
198,Hallgeir,Grøntvedt,"{2021-2025,2013-2017,2009-2013}"
199,Haitham,El-noush,"{2021-2025,2009-2013}"
200,Halvor,Rismyhr,{2021-2025}
201,Hanne-Berit,Brekken,{2021-2025}
202,Hannah,Gitmark,{2021-2025}
203,Hanne Birgitte Lindbak,Haatuft,{2021-2025}
204,Hans Gunnar,Holand,{2021-2025}
205,Hanna Elise,Marcussen,{2021-2025}
206,Hans Olav,Sundfør,{2021-2025}
207,Hanne Benedikte,Wiig,{2021-2025}
208,Hanne Dyveke,Søttar,"{2021-2025,2017-2021,2005-2009,2001-2005,1997-2001}"
210,Hedda,Wike,{2021-2025}
211,Hege,Nordheim-Viken,{2021-2025}
213,Heidi Marlene Siri,Dervo,{2021-2025}
215,Heidi Anita Lindkvist,Holmgren,{2021-2025}
216,Halvor,Ekeland,"{2021-2025,2017-2021}"
217,Helge Johan,Ringli,{2021-2025}
218,Helena,Haldorsen,{2021-2025}
220,Henning,Ekerhovd,{2021-2025}
222,Henrik,Stensønes,"{2021-2025,2017-2021}"
223,Herman,Sannerholt,{2021-2025}
225,Halvard,Ingebrigtsen,"{2021-2025,2017-2021,2013-2017}"
226,Hilde Marie Gaebpie,Danielsen,{2021-2025}
227,Hilde,Helland,{2021-2025}
228,Håkon,Ohren,{2021-2025}
230,Håkon Lykkebø,Strand,"{2021-2025,2017-2021}"
231,Hans Inge,Myrvold,"{2021-2025,2017-2021}"
233,Hans Olav,Myklebust,"{2021-2025,2009-2013}"
234,Hannah Sumeja,Atic,"{2021-2025,2017-2021}"
235,Haagen Severin Nilson,Poppe,"{2021-2025,2017-2021}"
237,Hulda,Tronstad,{2021-2025}
238,Håvard Sagbakken,Saanum,{2021-2025}
239,Håvard,Sæbø,{2021-2025}
240,Henning,Wold,"{2021-2025,2017-2021,2013-2017}"
242,Ida Gårseth,Hov,"{2021-2025,2017-2021}"
245,Ingrid Nergaard,Fjeldstad,{2021-2025}
246,Inger Torun,Klosbøle,{2021-2025}
247,Ingrid Tønseth,Myhr,{2021-2025}
248,Ingeborg,Tennes,{2021-2025}
250,Ingrid,Waagen,{2021-2025}
252,Ida Ohme,Pedersen,"{2021-2025,2017-2021}"
253,Irene Heng,Lauvsnes,{2021-2025}
255,Isak Mathis,Buljo,{2021-2025}
257,Iril Schau,Johansen,"{2021-2025,2017-2021,2013-2017}"
258,Ivar B.,Prestbakmo,"{2021-2025,1997-2001}"
259,Jakob,Bjelland,"{2021-2025,2013-2017,2009-2013}"
260,Jakob,Vorren,{2021-2025}
261,Jan,Grønningen,{2021-2025}
262,Janne,Nystøl,{2021-2025}
264,Johan,Aas,"{2021-2025,2017-2021}"
265,Jeanette Onarheim,Syversen,{2021-2025}
266,Jesper,Nohr,{2021-2025}
267,Johan Edvard,Grimstad,"{2021-2025,2017-2021}"
269,Jill Eirin,Undem,{2021-2025}
270,Jørn Inge,Næss,"{2021-2025,2009-2013}"
272,Jorunn Gleditsch,Lossius,"{2021-2025,2017-2021}"
273,Jon,Engen-Helgheim,"{2021-2025,2017-2021}"
274,Joel,Ystebø,{2021-2025}
275,John-Peder,Denstad,{2021-2025}
276,Johann Martin,Krüger,{2021-2025}
277,Jone,Blikra,{2021-2025}
278,Jonny,Gulbrandsen,{2021-2025}
279,Jona,Lie,{2021-2025}
281,Jon Reidar,Øyan,"{2021-2025,2017-2021}"
282,Jørgen H.,Kristiansen,{2021-2025}
283,Julia Brännström,Nordtug,"{2021-2025,2017-2021,2013-2017}"
284,Jan Steinar Engeli,Johansen,"{2021-2025,2017-2021,1997-2001}"
285,Jan Ove,Tryggestad,"{2021-2025,2013-2017}"
287,Jul Tore,Kittelsrud,{2021-2025}
288,Katrine Boel,Gregussen,"{2021-2025,2017-2021,2013-2017}"
289,Kaja,Hilleren,{2021-2025}
290,Kaja Elisabeth Flesjø,Kværner,{2021-2025}
292,Kassandra Eleni Bredrup,Petsas,"{2021-2025,2017-2021}"
293,Karoline,Aarvold,{2021-2025}
294,Karoline Sjøen,Andersen,{2021-2025}
295,Kari Sofie,Bjørnsen,{2021-2025}
296,Karianne B.,Bråthen,{2021-2025}
297,Karsten Tønnevold,Fiane,{2021-2025}
298,Karoline,Fjeldstad,{2021-2025}
299,Kari Anita,Furunes,{2021-2025}
302,Kari,Jordal,{2021-2025}
303,Karstein Jon,Totland,{2021-2025}
304,Kari Anne,Sand,"{2021-2025,2013-2017}"
305,Katja Ragnasdatter,Halvorsen,{2021-2025}
309,Kenneth Engvoll,Løland,{2021-2025}
310,Ketil,Solvik-Olsen,"{2021-2025,2017-2021,2013-2017,2009-2013,2005-2009}"
311,Khalil,Obeed,{2021-2025}
314,Kim,Thoresen-Vestre,{2021-2025}
315,Kirsten Helen,Myren,{2021-2025}
316,Kjetil,Aga,{2021-2025}
317,Kjersti,Bjørnstad,{2021-2025}
319,Kjetil,Slettebø,{2021-2025}
322,Klemet Erland,Hætta,{2021-2025}
323,Kari Mette,Prestrud,"{2021-2025,2005-2009}"
324,Knut Tønnes,Steenersen,"{2021-2025,2017-2021,2009-2013,2005-2009}"
325,Kristin Ørmen,Johnsen,"{2021-2025,2017-2021,2013-2017}"
326,Kai Steffen,Østensen,"{2021-2025,2017-2021}"
327,Kristian Martin,Fremstad,{2021-2025}
328,Kristian Mateo,Norheim,{2021-2025}
329,Kristin,Horni,{2021-2025}
330,Kristoffer,Sivertsen,{2021-2025}
331,Kristoffer Robin,Haug,"{2021-2025,2017-2021}"
332,Kristian,Torve,"{2021-2025,2017-2021}"
333,Kristian P.,Wilsgård,"{2021-2025,2017-2021,2005-2009}"
334,Kurt Pasvikbamsen,Wikan,"{2021-2025,2017-2021}"
337,Lars Vegard,Fosser,{2021-2025}
338,Lars Eirik,Grotdal,{2021-2025}
339,Lars Gustav,Monsen,{2021-2025}
340,Lars,Rem,{2021-2025}
341,Lars Inge,Rønholt,{2021-2025}
342,Lars Myhr,Sandlund,{2021-2025}
343,Lubna Boby,Jaffery,"{2021-2025,2017-2021,2013-2017,2009-2013}"
346,Leif Gøran,Vasskog,{2021-2025}
347,Lena,Arntzen,{2021-2025}
348,Lena Amalie,Hamnes,{2021-2025}
349,Lill Harriet,Sandaune,"{2021-2025,2017-2021,2013-2017,2009-2013}"
352,Liv,Gustavsen,"{2021-2025,2017-2021}"
354,Linda Haugland,Jondahl,{2021-2025}
355,Line,Karlsvik,{2021-2025}
356,Line,Spiten,{2021-2025}
357,Lise-May,Sæle,"{2021-2025,2017-2021}"
360,Lavrans,Kierulf,"{2021-2025,2013-2017}"
361,Lasse,Lehre,"{2021-2025,2017-2021,2013-2017}"
362,Laila,Reiertsen,"{2021-2025,2017-2021,2013-2017,2009-2013,2005-2009}"
366,May Britt,Lagesen,"{2021-2025,2017-2021,2013-2017}"
367,Maria Barstad,Sanner,"{2021-2025,2017-2021}"
368,Magne,Sørby,{2021-2025}
371,Maksim Guttormsen,Råskhof,{2021-2025}
372,Maria,Alseth,"{2021-2025,2013-2017}"
373,Malin,Stokkeland,{2021-2025}
374,Marit,Aklestad,{2021-2025}
375,Marius,Bjørndalen,{2021-2025}
376,Marie-Helene H.,Brandsdal,{2021-2025}
377,Margrethe,Geelmuyden,{2021-2025}
378,Margrethe,Handeland,{2021-2025}
379,Marit,Grefstad,{2021-2025}
380,Maren,Grøthe,{2021-2025}
381,Marit Stubberud,Hanssen,{2021-2025}
382,Marta,Hofsøy,{2021-2025}
383,Maria Dumitrascu,Imrik,{2021-2025}
384,Maren Johanne Hersleth,Holsen,{2021-2025}
385,Martin Virkesdal,Jonsterhaug,{2021-2025}
386,Marte Eide,Klovning,{2021-2025}
387,Mari Rise,Knutsen,{2021-2025}
388,Marianne Dobak,Kvensjø,{2021-2025}
390,Margrethe,Motzfeldt,{2021-2025}
392,Marianne Klever,Næss,{2021-2025}
393,Marit,Ophus,{2021-2025}
395,Mariann Birgitte Ruud,Slettene,{2021-2025}
396,Marte Larsen,Tønseth,{2021-2025}
397,Maren,Vardøy-Lie,{2021-2025}
398,Maria,Zähler,{2021-2025}
400,Mattis Månum,Pettersen,{2021-2025}
401,Maurith Julie,Fagerland,{2021-2025}
402,Marit,Bjerkås,"{2021-2025,2017-2021}"
403,Mehmet Kaan,Inan,{2021-2025}
404,Margrethe,Haarr,"{2021-2025,2017-2021}"
405,May Helen Hetland,Ervik,"{2021-2025,2017-2021}"
408,Mina Jørgensen,Bergem,{2021-2025}
409,Minja Tea,Dzamarija,{2021-2025}
410,Kim,Hjardar,{2017-2021}
411,Michael,Tetzschner,"{2021-2025,2017-2021,2013-2017,2009-2013}"
414,Marte,Løvik,"{2021-2025,2017-2021}"
416,Monica,Molvær,"{2021-2025,2017-2021}"
417,Modolf,Haraldseid,{2021-2025}
418,Mohamed Ben Hedi,Kallel,{2021-2025}
420,Mona,Osman,{2021-2025}
421,Morten,Helland,{2021-2025}
423,Monica Therese Vee,Bratlie,"{2021-2025,2017-2021,2013-2017}"
427,Naomi Leila Nassiep,Wessel,{2021-2025}
428,Nasir,Ahmed,{2021-2025}
429,Nancy P.,Anti,"{2021-2025,2017-2021}"
430,Nisrin El,Morabit,"{2021-2025,2017-2021}"
432,Nicolai,Østeby,{2021-2025}
433,Niklaus,Haugrønning,"{2021-2025,2017-2021}"
434,Niklas,Eriksen,{2021-2025}
435,Nilofar,Nori,{2021-2025}
436,Nina P. S.,Lauritzsen,{2021-2025}
437,Naomi Ichihara,Røkkum,"{2021-2025,2017-2021}"
439,Njål Vigleik,Grene-Johnsen,{2021-2025}
441,Nora Jungeilges,Heyerdahl,{2021-2025}
446,Oda Maria Irgens,Hokstad,{2021-2025}
448,Oddbjørn,Kylland,{2021-2025}
449,Odd,Langvatn,{2021-2025}
450,Ole Guttorm,Brenden,"{2021-2025,2017-2021}"
451,Olav,Nordheim,{2021-2025}
452,Ola,Svenneby,{2021-2025}
453,Olav Sannes,Vika,{2021-2025}
455,Ole-Ansger Nepomuk,Martini,{2021-2025}
456,Ole Mathias,Rønaasen,{2021-2025}
458,Olav,Urbø,"{2021-2025,2017-2021}"
459,Ola Tore,Dokken,"{2021-2025,2017-2021}"
461,Paal,Kloster,{2021-2025}
462,Pål Morten,Borgli,"{2021-2025,2009-2013}"
463,Eli,Skoland,{2009-2013}
464,Paula Marie Kornelia,Lorentzen,{2021-2025}
466,Per Ivar,Lied,"{2021-2025,1997-2001}"
467,Per-Asbjørn,Andvik,{2021-2025}
469,Per-Gunnar,Skotåm,{2021-2025}
470,Per-Steinar,Slang,{2021-2025}
