,fornavn,etternavn,periode_liste
714,Cathrine Løwer,Dahlquist,{2017-2021}
715,Claus Morten,Jørstad,"{2017-2021,2009-2013}"
716,Christine,Nilssen,{2017-2021}
717,Christian Tynning,Bjørnø,"{2017-2021,2013-2017}"
718,Dag Erik,Pryhn,{2017-2021}
719,Didrik,Beck,{2017-2021}
720,Daniel,Skjevik-Aasberg,"{2017-2021,2013-2017}"
722,Erik,Adland,{2017-2021}
724,Eva Kristin,Andersen,"{2017-2021,2013-2017}"
725,Eva Sandersen,Hetta,{2017-2021}
726,Elizabeth Åsjord,Sire,{2017-2021}
727,Erling,Behrens,"{2017-2021,2013-2017}"
729,Eivind,Brenna,"{2017-2021,2013-2017}"
730,Edmund,Stave,{2017-2021}
731,Elisabeth,Fanghol,{2017-2021}
732,Eirik Faret,Sakariassen,{2017-2021}
733,Ellinor,Gitlesen,{2017-2021}
735,Einar Jahre,Mustaparta,{2017-2021}
736,Eirin Kristin,Kjær,{2017-2021}
737,Eli Anne,Krystad,{2017-2021}
738,Ellen O.,Smenes,{2017-2021}
739,Erik,Ludvigsen,{2017-2021}
740,Erik Mogens,Unaas,{2017-2021}
741,Erik,Skutle,"{2017-2021,2013-2017}"
742,Erik,Skjervagen,{2017-2021}
743,Eldri,Svisdal,{2017-2021}
744,Elisabeth Toft,Erichsen,{2017-2021}
747,Fredrik,Mellem,"{2017-2021,2013-2017}"
749,Fredrik,Tønnesen,{2017-2021}
750,Grethe,Andersen,{2017-2021}
751,Geir Christian,Enger,{2017-2021}
752,Geir Sigbjørn,Toskedal,"{2017-2021,2013-2017}"
753,Gretha Evelin,Thuen,"{2017-2021,2001-2005}"
754,Geir,Fauchald,{2017-2021}
755,Gunn Elin,Flakne,"{2017-2021,2013-2017,2009-2013,2005-2009}"
756,Geir Hågen,Karlsen,"{2017-2021,2013-2017}"
757,Geir Inge,Sivertsen,"{2017-2021,2005-2009}"
758,Gerd,Isaksen,{2017-2021}
760,Gunnar,Kaus,"{2017-2021,2013-2017}"
761,Gina,Barstad,"{2017-2021,2013-2017,2009-2013}"
762,Gjertrud,Kjellesvik,"{2017-2021,2005-2009}"
763,Gunhild Elise,Øyangen,"{2017-2021,2001-2005,1997-2001}"
764,Grethe-Liv,Olaussen,{2017-2021}
765,Gunnar,Schulz,{2017-2021}
766,Gunn Haga,Brekka,{2017-2021}
767,Gülsüm,Koc,{2017-2021}
768,Hanne Caroline S.,Iversen,"{2017-2021,2013-2017,2009-2013,2005-2009,2001-2005}"
769,Heidi,Herum,{2017-2021}
771,Heidi,Granli,{2017-2021}
773,Hilde Kristin,Holtesmo,{2017-2021}
774,Hilmar,Høl,"{2017-2021,2005-2009}"
775,Hilde Anita,Nyvoll,"{2017-2021,2009-2013}"
776,Hanne,Thürmer,"{2017-2021,2013-2017,2009-2013}"
777,Hilde Mari,Bjørke,"{2017-2021,2013-2017}"
778,Hanne Marte,Vatnaland,{2017-2021}
779,Helge Robert,Midtbø,"{2017-2021,2013-2017}"
780,Hanne Ragnhild,Risvold,"{2017-2021,2013-2017}"
781,Halvard,Skaaland,{2017-2021}
782,Helge,Steinsvåg,"{2017-2021,2013-2017}"
783,Henry Andreas,Tendenes,{2017-2021}
784,Hulda,Holtvedt,{2017-2021}
785,Hanne Alstrup,Velure,"{2017-2021,2013-2017}"
786,Hans,Vintervold,{2017-2021}
787,Hans Kristian,Voldstad,{2017-2021}
788,Ingebjørg Berstad,Torp,{2017-2021}
789,Ingar,Eikeland,{2017-2021}
791,Inger Helene,Vaaten,"{2017-2021,2013-2017}"
792,Idun Kristine,Bortne,{2017-2021}
793,Ingelinn,Lossius-Skeie,{2017-2021}
794,Ingvill,Dalseg,{2017-2021}
795,Ingunn,Trosholmen,{2017-2021}
797,Iselin,Haugo,{2017-2021}
798,Inger Helene Hagen,Sira,{2017-2021}
799,Ingjerd Thon,Hagaseth,"{2017-2021,2013-2017}"
800,Iver,Tokstad,{2017-2021}
801,Jannike Sveinsdatter,Arnesen,"{2017-2021,2013-2017}"
803,John Christian,Elden,"{2017-2021,2013-2017}"
804,Jens-Fredrik,Nakken,{2017-2021}
807,Janne Fardal,Kristoffersen,"{2017-2021,2009-2013,2005-2009}"
810,Johnny,Håvik,{2017-2021}
811,Jan Halvor Vaag,Endrerud,{2017-2021}
812,Jorid Juliussen,Nordmelan,"{2017-2021,2013-2017}"
813,Jane,Meyer,{2017-2021}
814,Jonas,Bals,{2017-2021}
815,Jonas Bugtene,Boulifa,{2017-2021}
816,Jorid Oliv,Jagtøyen,{2017-2021}
817,Jarle Ugelstad,Klavenes,{2017-2021}
818,Julia,Wong,{2017-2021}
819,John-Erik,Vika,{2017-2021}
821,Karin,Eriksen,{2017-2021}
823,Kari Anne Bøkestad,Andreassen,{2017-2021}
824,Kari-Anne,Opsal,{2017-2021}
825,Kjartan,Berland,"{2017-2021,2013-2017}"
828,Kristian,Eilertsen,{2017-2021}
830,Kim André,Haugan Schei,{2017-2021}
831,Kjell Ivar,Larsen,"{2017-2021,2013-2017,2009-2013,2005-2009}"
832,Kjetil,Glimsdal,{2017-2021}
833,Kjersti,Pettersen,{2017-2021}
834,Kjell-Idar,Juvik,"{2017-2021,2013-2017}"
836,Kaja Ljønes,Lund,{2017-2021}
837,Knut Magne,Flølo,{2017-2021}
838,Kristin Moe,Surlien,{2017-2021}
840,Knut Øye,Brandsås,{2017-2021}
841,Kristine,Hallingstad,"{2017-2021,2013-2017}"
842,Kristin,Maurstad,"{2017-2021,2013-2017,2009-2013}"
843,Kari-Lise,Rørvik,{2017-2021}
844,Kenneth Sørum,Bekkemoen,{2017-2021}
845,Kirsten Sandberg,Natvig,{2017-2021}
847,Leif Ari Throndsen,Ingholm,{2017-2021}
848,Lozan,Balisany,{2017-2021}
849,Leif,Christensen,{2017-2021}
850,Leif,Eggen,{2017-2021}
851,Leif Erik,Egaas,{2017-2021}
852,Leif Audun,Sande,{2017-2021}
853,Line,Halvorsrud,{2017-2021}
854,Lars Olav,Hustad,{2017-2021}
855,Liselotte Aune,Lee,{2017-2021}
856,Line,Meyer,{2017-2021}
858,Lise Solveig,Wiik,"{2017-2021,2013-2017,2005-2009,2001-2005}"
860,Marius Roheim,Johnsen,{2017-2021}
863,Martin,Ludvigsen,{2017-2021}
864,Martha,Tærud,{2017-2021}
865,Mathias,Bernander,{2017-2021}
866,Magnus,Weggesrud,{2017-2021}
867,Mona,Berger,{2017-2021}
868,Marie Ljones,Brekke,"{2017-2021,2013-2017}"
869,Monica Carmen,Gåsvatn,"{2017-2021,2009-2013}"
871,Mette Heidi Bergsvåg,Ekrheim,{2017-2021}
872,Mari,Eifring,{2017-2021}
873,Magnus,Halvorsen,{2017-2021}
874,Markus,Hansen,{2017-2021}
875,Marianne,Haukland,{2017-2021}
876,Margareth Hoff,Berg,"{2017-2021,2009-2013,2005-2009}"
878,Marit Helene,Meyer,{2017-2021}
879,Monica Hauge,Stiansen,"{2017-2021,2013-2017}"
880,Margaret Elin,Hystad,{2017-2021}
881,Mildred Akosua Agyele,Awuku,{2017-2021}
882,Miriam,Haavik,{2017-2021}
883,Mazyar,Keshvari,"{2017-2021,2013-2017,2009-2013,2005-2009}"
884,Maria Kristine,Göthner,{2017-2021}
885,Mats A.,Kirkebirkeland,{2017-2021}
886,Marius Meisfjord,Jøsevold,"{2017-2021,2009-2013}"
887,Marit Nerås,Krogsæter,"{2017-2021,2013-2017}"
888,Marianne,Nordli,"{2017-2021,2009-2013}"
889,Morten Andreas,Hagen,"{2017-2021,2013-2017}"
890,Monica Skeide,Glad,{2017-2021}
892,Morgan,Langfeldt,"{2017-2021,2013-2017}"
893,Marte,Præsteng,{2017-2021}
894,Maren,Rismyhr,{2017-2021}
895,Marianne,Røed,{2017-2021}
897,Marthe Scharning,Lund,"{2017-2021,2001-2005,1997-2001}"
898,Magnus Wåtland,Delbekk,{2017-2021}
899,Mari Aaby,West,{2017-2021}
900,Mathias Willassen,Hanssen,{2017-2021}
902,Nina Elisabeth,Bentzen,{2017-2021}
904,Nina,Thorbjørnsen Roland,{2017-2021}
906,Nina,Jentoft,{2017-2021}
907,Niclas,Tokerud,"{2017-2021,2013-2017}"
909,Nina Ve,Sæbø,{2017-2021}
910,Ole Bent,Røiseland,{2017-2021}
911,Olivia Corso,Salles,"{2017-2021,2013-2017}"
912,Oddvar,Igland,{2017-2021}
913,Odd,Omland,"{2017-2021,2013-2017,2009-2013}"
914,Odd Gunnar,Tveit,"{2017-2021,2013-2017,2009-2013}"
916,Ole-Jacob,Johansen,"{2017-2021,2013-2017,2001-2005}"
918,Olov,Grøtting,"{2017-2021,2013-2017,2009-2013}"
919,Olav,Myklebust,{2017-2021}
920,Olaus Trygve,Bjuland,{2017-2021}
921,Ove,Vollan,{2017-2021}
922,Øystein,Hassel,{2017-2021}
923,Per Martin,Berg,{2017-2021}
925,Per Kåre,Foss,"{2017-2021,2013-2017}"
926,Per Gunnar,Stensvaag,{2017-2021}
927,Per Kristian,Lunden,{2017-2021}
928,Per,Lykke,{2017-2021}
929,Pål Sæther,Eiden,{2017-2021}
930,Per Sverre,Kvinlaug,"{2017-2021,2013-2017}"
931,Pål Sture,Nilsen,{2017-2021}
932,Peder Sjo,Slettebø,{2017-2021}
933,Per Espen,Stoknes,{2017-2021}
934,Per-Gunnar,Sveen,{2017-2021}
935,Randi,Dille,{2017-2021}
936,Ragnhild Berg,Nilsen,{2017-2021}
937,Roger,Granum,{2017-2021}
938,Roger,Hansen,{2017-2021}
939,Randi Helga Walderhaug,Frisvoll,"{2017-2021,2013-2017}"
940,Ragnhild H.,Kaski,"{2017-2021,2013-2017}"
941,Rikke,Håkstad,{2017-2021}
942,Rita,Lekang,{2017-2021}
943,Regina,Alexandrova,"{2017-2021,2013-2017}"
944,Roy Arild,Angelvik,"{2017-2021,2013-2017}"
945,Robert,Lien,{2017-2021}
946,Roger Magne,Osen,{2017-2021}
947,Rolf-Jonas Ringen,Kristiansen,{2017-2021}
949,Rowena von,Ohle,{2017-2021}
950,Sadi,Emeci,{2017-2021}
951,Svein Arne,Harsjøen,{2017-2021}
952,Stine,Akselsen,{2017-2021}
953,Steinar,Bach,{2017-2021}
954,Suzy Christina,Haugan,{2017-2021}
955,Svein Erik,Indbjo,{2017-2021}
956,Silje Flaten,Haugli,{2017-2021}
957,Sigurd Gjerde,Jakola,{2017-2021}
958,Steinar,Ness,{2017-2021}
959,Sheida,Sangtarash,{2017-2021}
960,Sigurd,Hille,"{2017-2021,2013-2017}"
961,Siv Henriette,Jacobsen,"{2017-2021,2005-2009}"
963,Sigurd Arnekleiv,Bækkelund,{2017-2021}
964,Silje,Diserud,{2017-2021}
965,Siv Elin,Hansen,"{2017-2021,2013-2017}"
966,Silje,Johansen,{2017-2021}
967,Sindre,Nilsskog,{2017-2021}
969,Simon Johan Hagvåg,Johnsen,{2017-2021}
971,Siri,Martinsen,"{2017-2021,2013-2017}"
972,Simon Molvær,Grimstad,"{2017-2021,2013-2017}"
973,Sahfana Ali,Mubarak,{2017-2021}
974,Sofie Margrethe Steinsvåg,Selvikvåg,"{2017-2021,2013-2017}"
978,Solveig Skaugvoll,Foss,{2017-2021}
979,Silje Heggdal,Sjøvold,{2017-2021}
980,Svein,Syversen,{2017-2021}
981,Steinar,Karlstrøm,{2017-2021}
982,Stine,Hansen,{2017-2021}
984,Stine Margrethe Knutsdatter,Olsen,{2017-2021}
985,Stein Robert,Osdal,{2017-2021}
986,Stine Renate,Håheim,"{2017-2021,2013-2017,2009-2013}"
987,Svetlana Konstantinova,Johnsen,{2017-2021}
988,Syed Wali Haider,Gilani,{2017-2021}
989,Sylvia,Brandsrud,{2017-2021}
990,Torkil,Åmland,"{2017-2021,2013-2017,2009-2013}"
991,Tarjei,Skræi,{2017-2021}
992,Tore,Askildsen,{2017-2021}
993,Tiril Eid,Barland,{2017-2021}
994,Tonje,Kopstad,{2017-2021}
995,Trine-Lise Østlund,Blime,"{2017-2021,2013-2017}"
996,Torbjørn,Bongo,{2017-2021}
998,Tove,Eivindsen,{2017-2021}
999,Tonje Kristin,Evju,{2017-2021}
1000,Trude Fjærli,Giskås,{2017-2021}
1002,Torleif,Hamre,{2017-2021}
1003,Theodor Barndon,Helland,{2017-2021}
1004,Thor,Edquist,{2017-2021}
1005,Terje,Hylen,{2017-2021}
1006,Tarjei Jensen,Bech,{2017-2021}
1007,Trine,Danielsen,{2017-2021}
1008,Tone Merete,Sønsterud,"{2017-2021,2013-2017,2009-2013,2005-2009,2001-2005}"
1010,Tore Andreas,Haaland,{2017-2021}
1011,Tove Welle,Haugland,{2017-2021}
1013,Tor,Grøthe,{2017-2021}
1015,Tone Heimdal,Brataas,"{2017-2021,2013-2017}"
1016,Tone May,Nordstrand,{2017-2021}
1017,Torgeir,Anda,{2017-2021}
1018,Torgeir,Johnsen,{2017-2021}
1019,Tormod,Overland,"{2017-2021,2013-2017}"
1020,Tore Syvert,Haga,{2017-2021}
1022,Tove-Lise,Torve,"{2017-2021,2013-2017,2009-2013}"
1023,Tor Petter,Ekroll,{2017-2021}
1024,Tommy Rannov,Nystad,"{2017-2021,2013-2017}"
1025,Trude,Brosvik,{2017-2021}
1027,Tommy,Skjervold,{2017-2021}
1028,Torill Selsvold,Nyborg,"{2017-2021,2005-2009,2001-2005,1997-2001}"
1029,Tor Sigbjørn,Utsogn,"{2017-2021,2009-2013}"
1030,Turid,Backe-Viken,{2017-2021}
1032,Vidar,Andersen,"{2017-2021,2001-2005}"
1033,Vegard Frøseth,Fenes,{2017-2021}
1034,Viggo,Lütcherath,{2017-2021}
1035,Viel Jaren,Heitmann,{2017-2021}
1036,Vegard Johan,Jæger,{2017-2021}
1037,Vetle,Langedahl,{2017-2021}
1038,Victoria Marie,Evensen,{2017-2021}
1039,Victoria,Smenes,{2017-2021}
1040,Wenche,Tislevoll,{2017-2021}
1041,Yassine,Arakia,{2017-2021}
1042,Zaineb,Al-Samarai,{2017-2021}
1044,Astrid Nøklebye,Heiberg,"{2017-2021,2013-2017}"
1046,Åsta,Årøen,{2013-2017}
1047,Anne Barbro Aglen,Bystadhagen,{2013-2017}
1048,Anja Berggård,Endresen,{2013-2017}
1049,Astrid F.,Selsvold,{2013-2017}
1050,Åge,Austheim,"{2013-2017,2009-2013,2005-2009}"
1051,Anne Grethe,Lund,{2013-2017}
1052,Arnulf,Goksøyr,{2013-2017}
1053,Anne,Haave,{2013-2017}
1054,Aud Herbjørg,Kvalvik,"{2013-2017,2009-2013,2005-2009}"
1055,Aina Johanne,Nilsen,{2013-2017}
1056,Anne Kathrine,Slungård,"{2013-2017,2009-2013,2001-2005,1997-2001}"
1057,Ann Kathrine,Skjørshammer,"{2013-2017,1997-2001}"
1060,Andreas C.,Halse,{2013-2017}
1061,Anders,Braaten,{2013-2017}
1062,André,Bråthen,{2013-2017}
1063,Anette Stegegjerdet,Norberg,"{2013-2017,2009-2013}"
1064,Ånen,Werdal,{2013-2017}
1065,Anne-Rita,Nicklasson,{2013-2017}
1066,Anne Lene W.,Hojem,{2013-2017}
1067,André,Pedersen,"{2013-2017,2009-2013}"
1068,Audun,Otterstad,{2013-2017}
1069,Are,Helseth,"{2013-2017,2009-2013}"
1071,Arnfinn,Nergård,"{2013-2017,2009-2013,2005-2009}"
1073,Åse-Marie,Småvik,{2013-2017}
1074,Annelin,Tangen,{2013-2017}
1077,Beate,Seljenes,{2013-2017}
1078,Bent,Eriksen,{2013-2017}
1079,Benjamin,Grønvold,{2013-2017}
1080,Bente,Foshaug,{2013-2017}
1081,Britt Giske,Andersen,{2013-2017}
1082,Bjørn,Iddberg,{2013-2017}
1083,Bjørn Erik,Hollevik,{2013-2017}
1084,Benedichte,Limmesand,{2013-2017}
1086,Bjørgulv Sverdrup,Lund,"{2013-2017,2009-2013}"
1088,Berit Nordseth,Moen,{2013-2017}
1089,Børge,Lunde,{2013-2017}
1090,Britt Hansine Egeland,Gulbrandsen,{2013-2017}
1091,Bendik Rød,Karlsson,{2013-2017}
1092,Berit,Solli,{2013-2017}
1094,Bjørg,Tingstad,{2013-2017}
1096,Camilla,Mollatt,{2013-2017}
1097,Christin Guldahl,Madsen,{2013-2017}
1098,Christian,Hemmingsen,{2013-2017}
1099,Christin,Kristoffersen,{2013-2017}
1100,Charlotte Hansen,Søyland,{2013-2017}
1101,Camilla,Williams,{2013-2017}
1102,Dag,Ekelberg,{2013-2017}
1103,Dag Helge,Frøisland,{2013-2017}
1104,Dag Inge,Aarhus,{2013-2017}
1105,Dorthe Kyvik,Bårnes,{2013-2017}
1106,Dag Martin,Bakken,{2013-2017}
1107,Dag Øivind,Henriksen,{2013-2017}
1108,Daniel,Rugaas,{2013-2017}
1109,Dag,Sele,"{2013-2017,2009-2013}"
1110,Einar,Aasen,{2013-2017}
1111,Emil André,Erstad,{2013-2017}
1112,Even Aleksander,Hagen,{2013-2017}
1113,Espen Aaserud,Karlsen,{2013-2017}
1115,Erik Berg,Olsen,{2013-2017}
1116,Erik,Fløan,{2013-2017}
1117,Egil,Koch,{2013-2017}
1118,Eilev,Hegstad,{2013-2017}
1119,Einar,Horvei,"{2013-2017,2009-2013}"
1120,Eirik,Jørstad,{2013-2017}
1121,Erik,Kaupang,{2013-2017}
1123,Eli,Blakstad,"{2013-2017,2005-2009}"
1125,Elisabeth,Løland,{2013-2017}
1126,Elnar Remi,Holmen,{2013-2017}
1127,Embla,Belsvik,{2013-2017}
1129,Emilie,Bersaas,{2013-2017}
1130,Elin Maria,L'Estrange,{2013-2017}
1131,Eirik Nymo,Isaksen,{2013-2017}
1132,Erik Borge,Skei,{2013-2017}
1133,Erik,Lundeby,{2013-2017}
1134,Erik,Øien,{2013-2017}
1135,Eskil,Moen,{2013-2017}
1136,Eskil,Pedersen,{2013-2017}
1137,Elizabeth Toft,Erichsen,{2013-2017}
1138,Ellen,Ugland,"{2013-2017,2009-2013}"
1139,Eva Vinje,Aurdal,"{2013-2017,2009-2013}"
1140,Elisabeth Wickstrøm,Åkredalen,{2013-2017}
1141,Ewa,Hildre,{2013-2017}
1142,Finn-Arild,Bystrøm,"{2013-2017,2009-2013}"
1143,Farahnaz,Bahrami,"{2013-2017,2009-2013}"
1144,Filip,Rygg,"{2013-2017,2009-2013,2005-2009}"
1146,Frank-Tore,Nygård,{2013-2017}
1148,Fredrik,Bjørnebekk-Waagen,"{2013-2017,2009-2013}"
1149,Frode,Helgerud,"{2013-2017,1997-2001}"
1150,Frode,Revhaug,{2013-2017}
1151,Monica,Tjelmeland,{2009-2013}
1152,Frøydis,Sund,"{2013-2017,2009-2013,2005-2009,2001-2005}"
1154,Geir Asle,Stenseth,{2013-2017}
1155,Gunnar,Bakke,"{2013-2017,2005-2009,1997-2001}"
1156,Gerd Eli,Berge,{2013-2017}
1157,Geir,Elsebutangen,{2013-2017}
1158,Gunhild Grande,Stærk,{2013-2017}
1160,Gunnar,Viken,{2013-2017}
1161,Grethe Kristin,Lerum,{2013-2017}
1162,Gunn Karin,Sande,{2013-2017}
1163,Gunn-Marit,Lygre,{2013-2017}
1164,Gretha,Kant,"{2013-2017,2001-2005}"
1165,Grethe Ernø,Johansen,{2013-2017}
1166,Gry-Anette Rekanes,Amundsen,{2013-2017}
1167,Gro Sel,Tveito,"{2013-2017,2009-2013}"
1168,Gry,Haugsbakken,{2013-2017}
1169,Greta Johanne,Solfall,"{2013-2017,2009-2013}"
1171,Gunda Pauline,Johansen,"{2013-2017,2005-2009}"
1172,Hallgeir Ivan,Bremnes,"{2013-2017,2009-2013}"
1173,Harald Eivind,Bakke,{2013-2017}
1174,Håkon,Alstadheim,{2013-2017}
1175,Hans-Jacob,Bønå,{2013-2017}
1177,Hege,Jensen,{2013-2017}
1178,Helge,Eriksen,{2013-2017}
1179,Helge,Hamre,{2013-2017}
1180,Hans Hilding,Hønsvall,"{2013-2017,2001-2005}"
1181,Hilde Hoff,Håkonsen,{2013-2017}
1182,Hilde Margrethe,Gravnås,"{2013-2017,2009-2013}"
1183,Hugo,Bjørnstad,"{2013-2017,2001-2005}"
1184,Hanne Kvifte,Andresen,{2013-2017}
1186,Hans Petter Wahl,Adolfsen,{2013-2017}
1188,Helge,Sandåker,{2013-2017}
1189,Hallvard,Surlien,{2013-2017}
1190,Helge,Thorheim,{2013-2017}
1191,Hanne Therese,Myhrer,"{2013-2017,2009-2013}"
1193,Harald,Tronvik,{2013-2017}
1194,Håkon,Helgøy,{2013-2017}
1197,Ida,Stuberg,{2013-2017}
1198,Ingunn,Engelsvoll,{2013-2017}
1199,Ingunn,Gjerstad,"{2013-2017,2005-2009}"
1201,Ida Kristine,Teien,"{2013-2017,2009-2013}"
1203,Ingrid Marie Vaag,Endrerud,{2013-2017}
1204,Ingrid Margrete,Hillestad,{2013-2017}
1205,Iren,Opdahl,{2013-2017}
1206,Ingebjørg Ribe,Rudihagen,{2013-2017}
1207,Ingvild Stakkevold,Reymert,{2013-2017}
1208,Ivar,Leveraas,"{2013-2017,2009-2013}"
1209,Ivar,Tangeraas,{2013-2017}
1211,Jan Egil,Halbjørhus,{2013-2017}
1212,Jan Inge,Kaspersen,{2013-2017}
1213,Christel,Gundelach,"{2013-2017,2005-2009}"
1214,Jan,Blomseth,"{2013-2017,2009-2013,2005-2009}"
1215,Jørn,Christensen,{2013-2017}
1217,Jenny,Følling,{2013-2017}
1218,Jonn Gunnar,Lislelid,{2013-2017}
1219,Johnny,Ingebrigtsen,"{2013-2017,2005-2009}"
1221,Jørand Ødegård,Lunde,"{2013-2017,2009-2013,2005-2009,2001-2005}"
1222,Jonas Sørum,Nymo,{2013-2017}
1223,John K.,Holvik,"{2013-2017,2009-2013}"
1224,Jon-Olav,Strand,"{2013-2017,2001-2005,1997-2001}"
1225,Jan,Sigbjørnsen,"{2013-2017,2009-2013}"
1226,James,Stove Lorentzen,{2013-2017}
1228,Julie Eide,Solbakken,{2013-2017}
1229,Kari,Seljelid,{2013-2017}
1231,Katrine,Solberg,{2013-2017}
1233,Knut Falk,Qvigstad,{2013-2017}
1234,Khamshajiny,Gunaratnam,{2013-2017}
1235,Håvard,Jensen,{2013-2017}
1236,Kirsti,Dale,{2013-2017}
1237,Kjartan Alexander,Lunde,{2013-2017}
1238,Kjersti,Stenseng,{2013-2017}
1239,Karen Anne,Kjendlie,"{2013-2017,2005-2009}"
1240,Kåre Ludwig,Jørgensen,{2013-2017}
1241,Kjell,Lode,{2013-2017}
1242,Knut,Moe,{2013-2017}
1243,Kjell,Neergaard,{2013-2017}
1244,Knut,Gjerde,"{2013-2017,2005-2009,2001-2005,1997-2001}"
1245,Knut,Espeland,{2013-2017}
1247,Knut O.,Eldhuset,{2013-2017}
1248,Kari,Raustein,{2013-2017}
1249,Kjetil,Reinskou,{2013-2017}
1250,Kåre Ragnar,Helland,{2013-2017}
1251,Kristian,Norheim,{2013-2017}
1254,Kåre,Solberg,{2013-2017}
1255,Kristian Støback,Wilhelmsen,{2013-2017}
1256,Laila,Davidsen,"{2013-2017,2009-2013}"
1257,Laila,Gustavsen,"{2013-2017,2009-2013,2005-2009,2001-2005}"
1258,Lasse Nordmelan,Juliussen,"{2013-2017,2009-2013}"
1259,Latifa,Nasser,{2013-2017}
1260,Lara,Rashid,{2013-2017}
1261,Lise Mari,Bjerknesli,{2013-2017}
1262,Leif Christian,Andersen,{2013-2017}
1263,Lene,Langemyr,{2013-2017}
1266,Lina,Bringsli,{2013-2017}
1267,Linda,Verdal,"{2013-2017,2009-2013}"
1268,Lisbeth Von Erpecom,Vikse,{2013-2017}
1269,Livar,Veggeland,{2013-2017}
1270,Lars,Rise,"{2013-2017,2001-2005,1997-2001}"
1271,Louis Seberg,Edvardsen,{2013-2017}
1272,Lill Therese Sandvik,Solvi,{2013-2017}
1273,Line Kysnes,Vennesland,"{2013-2017,2009-2013}"
1275,Maiken,Messel,{2013-2017}
1276,Marianne,Øren,{2013-2017}
1277,Marvin,Wiseth,{2013-2017}
1278,Martin Bast,Sørsdal,{2013-2017}
1280,Mette,Hanekamhaug,"{2013-2017,2009-2013}"
1281,Mathias,Fischer,{2013-2017}
1282,Marianne Grimstad,Hansen,{2013-2017}
1283,Magnus,Mæland,{2013-2017}
1285,Monika,Sande,{2013-2017}
1286,Marianne S.,Bjorøy,{2013-2017}
1287,Norvald,Illevold,{2013-2017}
1288,Nina,Mjøberg,"{2013-2017,2009-2013,2005-2009}"
1289,Nils Michael Nilsson,Ramsøy,{2013-2017}
1290,Marianne,Nørstrud,{2013-2017}
1291,Øyvind,Berntsen,{2013-2017}
1292,Odd,Bovim,{2013-2017}
1294,Oda Marie Sagør,Stølen,{2013-2017}
1296,Ole Trygsland,Hoelseth,{2013-2017}
1297,Oliver,Husøy,{2013-2017}
1298,Olav Ingebjørn,Moe,{2013-2017}
1299,Ole Johan,Vierdal,{2013-2017}
1300,Ola,Kvisgaard,{2013-2017}
1301,Olbjørn,Kvernberg,{2013-2017}
1302,Oddvar,Østreim,{2013-2017}
1303,Olav Magnar,Tønsberg,"{2013-2017,2009-2013,2005-2009}"
1304,Øystein,Djupvik,{2013-2017}
1307,Peter N.,Myhre,"{2013-2017,2009-2013,2005-2009,2001-2005}"
1309,Per Fossen,Hals,{2013-2017}
1310,Peter Jan Henrik,Kuran,"{2013-2017,2001-2005}"
1311,Pål Kasper,Gabrielsen,{2013-2017}
1312,Per,Munkerud,{2013-2017}
1313,Per Olav Skurdal,Hopsø,{2013-2017}
1315,Prableen,Kaur,{2013-2017}
1316,Per Roger,Vikten,{2013-2017}
1317,Pål Yasin,Ezzari,{2013-2017}
1318,Rannveig Kvifte,Andresen,"{2013-2017,2009-2013,2005-2009}"
1319,Randi,Bergundhaugen,{2013-2017}
1321,Runar,Bålsrud,{2013-2017}
1322,Reine,Cihiluka,{2013-2017}
1323,Richard,Dagsvik,{2013-2017}
1324,Ragnar,Nordgreen,"{2013-2017,2009-2013,2005-2009}"
1325,Rita,Ottervik,"{2013-2017,2009-2013}"
1326,Reidar,Lindseth,{2013-2017}
1327,Roald Aga,Haug,"{2013-2017,2009-2013}"
1328,Ronny,Berg,{2013-2017}
1329,Roger,Hustad,{2013-2017}
1330,Roger,Valhammer,{2013-2017}
1331,Roy,Bjurholt,{2013-2017}
1332,Ruth Evy,Berglyd,{2013-2017}
1333,Rangdi,Krogstad,"{2013-2017,2001-2005}"
1335,Steinar,Berthelsen,"{2013-2017,2009-2013}"
1336,Sigrid Brattabø,Handegard,"{2013-2017,2005-2009}"
1337,Siw,Bleikvassli,{2013-2017}
1338,Sentoorvasan,Singaravel,{2013-2017}
1339,Seynab,Mohamud,{2013-2017}
1340,Silje,Guleng,{2013-2017}
1341,Simen,Nord,{2013-2017}
1342,Siri,Engesæth,{2013-2017}
1343,Siv,Høgtun,{2013-2017}
1344,Serine,Jonassen,{2013-2017}
1345,Sissel Knutsen,Hegdal,"{2013-2017,2009-2013}"
1349,Sidsel,Sæterøy,{2013-2017}
1350,Steinar,Gullvåg,"{2013-2017,2009-2013,2005-2009}"
1351,Staale Grude,Haaland,{2013-2017}
1352,Steffen,Jakobsen,{2013-2017}
1353,Sven Tore,Løkslid,{2013-2017}
1354,Susanne,Kristiansen,{2013-2017}
1355,Svein,Abrahamsen,{2013-2017}
1356,Svein Håvar,Korshavn,{2013-2017}
1358,Tor,Bremer,"{2013-2017,2009-2013,2001-2005}"
1359,Tom Cato,Karlsen,{2013-2017}
1360,Torbjørn,Dybsand,"{2013-2017,2009-2013,2001-2005}"
1361,Tom Erik,Hauger,"{2013-2017,1997-2001}"
1362,Terje Østebø,Eikin,{2013-2017}
1363,Thorstein,Dyrstad,{2013-2017}
1364,Thomas,Johansen,{2013-2017}
1365,Tor Inge,Hoaas,{2013-2017}
1366,Tina Elise,Wilcox,{2013-2017}
